Detector Type,Descriptor Type,Matching type,Sel Type,Frame_ID,Camera TTC (s),Lidar TTC(s),Difference TTC
BRISK,BRISK,ORB,MAT_BF,SEL_NN,1,13.28551636,12.97215890,0.31335745
BRISK,BRISK,ORB,MAT_BF,SEL_NN,2,15.51502980,12.26403761,3.25099219
BRISK,BRISK,ORB,MAT_BF,SEL_NN,3,14.41262410,16.96304201,-2.55041791
BRISK,BRISK,ORB,MAT_BF,SEL_NN,4,14.18447788,13.12542026,1.05905761
BRISK,BRISK,ORB,MAT_BF,SEL_NN,5,19.12193971,12.59510889,6.52683081
BRISK,BRISK,ORB,MAT_BF,SEL_NN,6,17.03181081,13.86901356,3.16279725
BRISK,BRISK,ORB,MAT_BF,SEL_NN,7,14.44183579,15.15608686,-0.71425107
BRISK,BRISK,ORB,MAT_BF,SEL_NN,8,17.22196865,15.36522319,1.85674546
BRISK,BRISK,ORB,MAT_BF,SEL_NN,9,13.87122994,12.24264888,1.62858106
BRISK,BRISK,ORB,MAT_BF,SEL_NN,10,11.58886785,13.72965491,-2.14078706
BRISK,BRISK,ORB,MAT_BF,SEL_NN,11,13.15859236,10.49140265,2.66718972
BRISK,BRISK,ORB,MAT_BF,SEL_NN,12,11.19914774,10.09999603,1.09915171
BRISK,BRISK,ORB,MAT_BF,SEL_NN,13,11.75533682,9.22306851,2.53226832
BRISK,BRISK,ORB,MAT_BF,SEL_NN,14,11.41283020,10.96776340,0.44506680
BRISK,BRISK,ORB,MAT_BF,SEL_NN,15,12.24896299,8.09421824,4.15474475
BRISK,BRISK,ORB,MAT_BF,SEL_NN,16,10.57412389,9.16582132,1.40830256
BRISK,BRISK,ORB,MAT_BF,SEL_NN,17,9.14981735,9.85140428,-0.70158693
BRISK,BRISK,ORB,MAT_BF,SEL_NN,18,10.22315543,8.30977868,1.91337676
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,1,12.64645059,12.97215890,-0.32570832
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,2,19.75363126,12.26403761,7.48959365
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,3,15.76185931,16.96304201,-1.20118270
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,4,13.75674550,13.12542026,0.63132523
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,5,23.94371562,12.59510889,11.34860673
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,6,14.12494056,13.86901356,0.25592700
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,7,14.24514085,15.15608686,-0.91094601
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,8,16.16639652,15.36522319,0.80117334
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,9,18.24758428,12.24264888,6.00493541
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,10,12.86284308,13.72965491,-0.86681183
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,11,11.89323358,10.49140265,1.40183093
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,12,12.03501375,10.09999603,1.93501772
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,13,12.60712066,9.22306851,3.38405216
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,14,10.64982518,10.96776340,-0.31793822
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,15,12.27905162,8.09421824,4.18483338
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,16,9.25872398,9.16582132,0.09290266
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,17,9.29556329,9.85140428,-0.55584099
BRISK,BRISK,FREAK,MAT_BF,SEL_NN,18,10.31082203,8.30977868,2.00104335
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,1,15.02249559,12.97215890,2.05033669
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,2,17.60021903,12.26403761,5.33618142
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,3,14.73421022,16.96304201,-2.22883179
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,4,17.27275593,13.12542026,4.14733566
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,5,32.64367218,12.59510889,20.04856329
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,6,15.79710466,13.86901356,1.92809110
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,7,15.81031705,15.15608686,0.65423018
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,8,17.33936882,15.36522319,1.97414564
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,9,18.07527450,12.24264888,5.83262562
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,10,12.84656838,13.72965491,-0.88308653
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,11,12.79197738,10.49140265,2.30057473
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,12,13.11632941,10.09999603,3.01633339
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,13,11.92095755,9.22306851,2.69788905
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,14,10.27422280,10.96776340,-0.69354060
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,15,14.10975431,8.09421824,6.01553608
BRISK,BRISK,SIFT,MAT_BF,SEL_NN,16,9.69049371,9.16582132,0.52467239
